Date,Date,Value,D-value,Rate
200,3/30/17,1037.90455,-3.16455,-0.00304898 
201,3/31/17,1034.74,52.189571,0.05043738 
202,2004/1/17,1086.929571,12.239554,0.01126067 
203,2004/2/17,1099.169125,-19.179125,-0.01744875 
204,2004/3/17,1079.99,61.610363,0.05704716 
205,2004/4/17,1141.600363,-8.521049,-0.00746413 
206,2004/5/17,1133.079314,0.450686,0.00039775 
207,2004/6/17,1133.53,56.92425,0.05021857 
208,2004/7/17,1190.45425,-9.304412,-0.00781585 
209,2004/8/17,1181.149838,2.880162,0.00243844 
210,2004/9/17,1184.03,23.714875,0.02002895 
211,2004/10/17,1207.744875,18.872163,0.01562595 
212,2004/11/17,1226.617038,-7.527038,-0.00613642 
213,2004/12/17,1219.09,-39.066287,-0.03204545 
214,4/13/17,1180.023713,5.236344,0.00443749 
215,4/14/17,1185.260057,-14.900057,-0.01257113 
216,4/15/17,1170.36,16.567413,0.01415583 
217,4/16/17,1186.927413,18.707462,0.01576125 
218,4/17/17,1205.634875,-28.664875,-0.02377575 
219,4/18/17,1176.97,40.960088,0.03480130 
220,4/19/17,1217.930088,23.756237,0.01950542 
221,4/20/17,1241.686325,-5.056325,-0.00407214 
222,4/21/17,1236.63,24.681225,0.01995846 
223,4/22/17,1261.311225,-3.323112,-0.00263465 
224,4/23/17,1257.988113,-17.148113,-0.01363138 
225,4/24/17,1240.84,38.574688,0.03108756 
226,4/25/17,1279.414688,29.695187,0.02320998 
227,4/26/17,1309.109875,-21.089875,-0.01611009 
228,4/27/17,1288.02,43.274429,0.03359764 
229,4/28/17,1331.294429,3.684609,0.00276769 
230,4/29/17,1334.979038,-1.979038,-0.00148245 
231,4/30/17,1333,84.172813,0.06314540 
232,2005/1/17,1417.172813,34.903475,0.02462895 
233,2005/2/17,1452.076288,-4.526288,-0.00311711 
234,2005/3/17,1447.55,60.742125,0.04196202 
235,2005/4/17,1508.292125,25.042946,0.01660351 
236,2005/5/17,1533.335071,-14.585071,-0.00951199 
237,2005/6/17,1518.75,17.118429,0.01127139 
238,2005/7/17,1535.868429,104.750796,0.06820297 
239,2005/8/17,1640.619225,10.480775,0.00638830 
240,2005/9/17,1651.1,111.78625,0.06770411 
241,2005/10/17,1762.88625,58.104313,0.03295976 
242,2005/11/17,1820.990563,8.009437,0.00439840 
243,2005/12/17,1829,-57.079987,-0.03120830 
244,5/13/17,1771.920013,4.396487,0.00248120 
245,5/14/17,1776.3165,3.6835,0.00207367 
246,5/15/17,1780,-40.968025,-0.02301574 
247,5/16/17,1739.031975,68.453088,0.03936275 
248,5/17/17,1807.485063,-23.505063,-0.01300429 
249,5/18/17,1783.98,177.540488,0.09951933 
250,5/19/17,1961.520488,91.3893,0.04659105 
251,5/20/17,2052.909788,-44.069788,-0.02146699 
252,5/21/17,2008.84,81.822313,0.04073112 
253,5/22/17,2090.662313,197.047975,0.09425146 
254,5/23/17,2287.710288,-31.390288,-0.01372127 
255,5/24/17,2256.32,130.886286,0.05800874 
256,5/25/17,2387.206286,-175.229429,-0.07340356 
257,5/26/17,2211.976857,67.843143,0.03067082 
258,5/27/17,2279.82,-86.8392,-0.03809038 
259,5/28/17,2192.9808,82.9499,0.03782518 
260,5/29/17,2275.9307,14.0893,0.00619057 
261,5/30/17,2290.02,-4.086086,-0.00178430 
262,5/31/17,2285.933914,113.308757,0.04956782 
263,2006/1/17,2399.242671,10.687329,0.00445446 
264,2006/2/17,2409.93,115.835158,0.04806578 
265,2006/3/17,2525.765158,-9.592015,-0.00379767 
266,2006/4/17,2516.173143,13.356857,0.00530840 
267,2006/5/17,2529.53,353.783697,0.13986144 
268,2006/6/17,2883.313697,-218.392834,-0.07574370 
269,2006/7/17,2664.920863,18.109137,0.00679538 
270,2006/8/17,2683.03,144.4613,0.05384260 
271,2006/9/17,2827.4913,17.881557,0.00632418 
272,2006/10/17,2845.372857,53.257143,0.01871711 
273,2006/11/17,2898.63,-240.954937,-0.08312718 
274,2006/12/17,2657.675063,90.510023,0.03405609 
275,6/13/17,2748.185086,-42.185086,-0.01535016 
276,6/14/17,2706,-263.51975,-0.09738350 
277,6/15/17,2442.48025,22.479564,0.00920358 
278,6/16/17,2464.959814,12.980186,0.00526588 
279,6/17/17,2477.94,29.449252,0.01188457 
280,6/18/17,2507.389252,109.821011,0.04379895 
281,6/19/17,2617.210263,-17.210263,-0.00657580 
282,6/20/17,2600,71.04325,0.02732433 
283,6/21/17,2671.04325,56.244763,0.02105723 
284,6/22/17,2727.288013,-13.808013,-0.00506291 
285,6/23/17,2713.48,-124.315112,-0.04581390 
286,6/24/17,2589.164888,-76.798602,-0.02966153 
287,6/25/17,2512.366286,-10.336286,-0.00411416 
288,6/26/17,2502.03,15.873114,0.00634409 
289,6/27/17,2517.903114,67.446072,0.02678660 
290,6/28/17,2585.349186,-27.049186,-0.01046249 
291,6/29/17,2558.3,-80.658625,-0.03152821 
292,6/30/17,2477.641375,23.549968,0.00950499 
293,2007/1/17,2501.191343,-79.931343,-0.03195731 
294,2007/2/17,2421.26,139.965429,0.05780686 
295,2007/3/17,2561.225429,38.504409,0.01503359 
296,2007/4/17,2599.729838,-0.839838,-0.00032305 
297,2007/5/17,2598.89,11.07775,0.00426249 
298,2007/6/17,2609.96775,-118.766536,-0.04550498 
299,2007/7/17,2491.201214,11.658786,0.00467999 
300,2007/8/17,2502.86,33.378938,0.01333632 
301,2007/9/17,2536.238938,-170.068795,-0.06705551 
302,2007/10/17,2366.170143,-39.080143,-0.01651620 
303,2007/11/17,2327.09,58.658571,0.02520683 
304,2007/12/17,2385.748571,-30.965154,-0.01297922 
305,7/13/17,2354.783417,-16.293417,-0.00691928 
306,7/14/17,2338.49,-279.4944,-0.11951918 
307,7/15/17,2058.9956,-127.7813,-0.06206002 
308,7/16/17,1931.2143,-20.2543,-0.01048786 
309,7/17/17,1910.96,409.16225,0.21411346 
310,7/18/17,2320.12225,-55.35655,-0.02385932 
311,7/19/17,2264.7657,0.4443,0.00019618 
312,7/20/17,2265.21,416.985363,0.18408243 
313,7/21/17,2682.195363,125.414494,0.04675815 
314,7/22/17,2807.609857,17.900143,0.00637558 
315,7/23/17,2825.51,-73.688971,-0.02607988 
316,7/24/17,2751.821029,-190.823112,-0.06934430 
317,7/25/17,2560.997917,3.302083,0.00128937 
318,7/26/17,2564.3,83.325,0.03249425 
319,7/27/17,2647.625,134.011583,0.05061577 
320,7/28/17,2781.636583,3.163417,0.00113725 
321,7/29/17,2784.8,-38.844583,-0.01394879 
322,7/30/17,2745.955417,120.47625,0.04387407 
323,7/31/17,2866.431667,-3.531667,-0.00123208 
324,2008/1/17,2862.9,-169.266017,-0.05912397 
325,2008/2/17,2693.633983,100.483734,0.03730415 
326,2008/3/17,2794.117717,-4.117717,-0.00147371 
327,2008/4/17,2790,428.115017,0.15344624 
328,2008/5/17,3218.115017,34.447516,0.01070425 
329,2008/6/17,3252.562533,-42.362533,-0.01302436 
330,2008/7/17,3210.2,247.174333,0.07699655 
331,2008/8/17,3457.374333,-100.048016,-0.02893757 
332,2008/9/17,3357.326317,-17.046317,-0.00507735 
333,2008/10/17,3340.28,292.226667,0.08748568 
334,2008/11/17,3632.506667,220.296247,0.06064579 
335,2008/12/17,3852.802914,15.717086,0.00407939 
336,8/13/17,3868.52,414.472,0.10713968 
337,8/14/17,4282.992,-65.963671,-0.01540131 
338,8/15/17,4217.028329,-37.058329,-0.00878778 
339,8/16/17,4179.97,148.755717,0.03558775 
340,8/17/17,4328.725717,-198.28565,-0.04580693 
341,8/18/17,4130.440067,-25.730067,-0.00622938 
342,8/19/17,4104.71,53.248033,0.01297242 
343,8/20/17,4157.958033,-114.236033,-0.02747407 
344,8/21/17,4043.722,-57.442,-0.01420523 
345,8/22/17,3986.28,188.67,0.04732984 
346,8/23/17,4174.95,165.366717,0.03960927 
347,8/24/17,4340.316717,-8.546717,-0.00196915 
348,8/25/17,4331.77,28.743317,0.00663547 
349,8/26/17,4360.513317,-6.204984,-0.00142299 
350,8/27/17,4354.308333,-15.258333,-0.00350419 
351,8/28/17,4339.05,268.93545,0.06198026 
352,8/29/17,4607.98545,-12.9976,-0.00282067 
353,8/30/17,4594.98785,-12.46785,-0.00271336 
354,8/31/17,4582.52,329.220017,0.07184257 
355,2009/1/17,4911.740017,-331.352537,-0.06746133 
356,2009/2/17,4580.38748,5.18252,0.00113146 
357,2009/3/17,4585.57,-241.471683,-0.05265903 
358,2009/4/17,4344.098317,144.621823,0.03329156 
359,2009/5/17,4488.72014,-103.70014,-0.02310238 
360,2009/6/17,4385.02,269.6385,0.06149083 
361,2009/7/17,4654.6585,-343.908317,-0.07388476 
362,2009/8/17,4310.750183,1.509817,0.00035024 
363,2009/9/17,4312.26,17.695,0.00410342 
364,2009/10/17,4329.955,-81.864983,-0.01890666 
365,2009/11/17,4248.090017,-49.500017,-0.01165230 
366,2009/12/17,4198.59,-237.318733,-0.05652344 
367,9/13/17,3961.271267,-641.641267,-0.16197862 
368,9/14/17,3319.63,-103.2,-0.03108780 
369,9/15/17,3216.43,547.19604,0.17012528 
370,9/16/17,3763.62604,-17.565257,-0.00466711 
371,9/17/17,3746.060783,-67.530783,-0.01802715 
372,9/18/17,3678.53,264.883333,0.07200793 
373,9/19/17,3943.413333,34.148334,0.00865959 
374,9/20/17,3977.561667,-83.081667,-0.02088759 
375,9/21/17,3894.48,-256.97745,-0.06598505 
376,9/22/17,3637.50255,138.88435,0.03818124 
377,9/23/17,3776.3869,1.2331,0.00032653 
378,9/24/17,3777.62,164.935,0.04366109 
379,9/25/17,3942.555,-32.247617,-0.00817937 
380,9/26/17,3910.307383,-29.307383,-0.00749491 
381,9/27/17,3881,320.98905,0.08270782 
382,9/28/17,4201.98905,-8.414383,-0.00200248 
383,9/29/17,4193.574667,-29.304667,-0.00698799 
384,9/30/17,4164.27,196.452967,0.04717585 
385,2010/1/17,4360.722967,26.160783,0.00599918 
386,2010/2/17,4386.88375,7.18625,0.00163812 
387,2010/3/17,4394.07,-168.895,-0.03843703 
388,2010/4/17,4225.175,113.677,0.02690468 
389,2010/5/17,4338.852,-20.272,-0.00467220 
390,2010/6/17,4318.58,57.611667,0.01334042 
391,2010/7/17,4376.191667,226.089216,0.05166346 
392,2010/8/17,4602.280883,3.379117,0.00073423 
393,2010/9/17,4605.66,176.62,0.03834847 
394,2010/10/17,4782.28,37.205767,0.00777992 
395,2010/11/17,4819.485767,2.684233,0.00055695 
396,2010/12/17,4822.17,741.636567,0.15379727 
397,10/13/17,5563.806567,175.632166,0.03156691 
398,10/14/17,5739.438733,86.551267,0.01508009 
399,10/15/17,5825.99,-114.784133,-0.01970208 
400,10/16/17,5711.205867,-107.492927,-0.01882141 
401,10/17/17,5603.71294,-9.05294,-0.00161553 
402,10/18/17,5594.66,132.9735,0.02376793 
403,10/19/17,5727.6335,251.82634,0.04396691 
404,10/20/17,5979.45984,6.98016,0.00116736 
405,10/21/17,5986.44,-3.25545,-0.00054380 
406,10/22/17,5983.18455,-107.104683,-0.01790095 
407,10/23/17,5876.079867,24.510133,0.00417117 
408,10/24/17,5900.59,-230.967467,-0.03914311 
409,10/25/17,5669.622533,223.515884,0.03942342 
410,10/26/17,5893.138417,-3.318417,-0.00056310 
411,10/27/17,5889.82,-113.12305,-0.01920654 
412,10/28/17,5776.69695,378.73707,0.06556291 
413,10/29/17,6155.43402,-18.94402,-0.00307761 
414,10/30/17,6136.49,252.155167,0.04109111 
415,10/31/17,6388.645167,276.661516,0.04330519 
416,2011/1/17,6665.306683,86.673317,0.01300365 
417,2011/2/17,6751.98,445.74006,0.06601620 
418,2011/3/17,7197.72006,239.823257,0.03331934 
419,2011/4/17,7437.543317,-71.553317,-0.00962056 
420,2011/5/17,7365.99,-376.918333,-0.05117008 
421,2011/6/17,6989.071667,103.055566,0.01474524 
422,2011/7/17,7092.127233,36.512767,0.00514835 
423,2011/8/17,7128.64,29.39706,0.00412380 
424,2011/9/17,7158.03706,-438.63921,-0.06127926 
425,2011/10/17,6719.39785,-150.17785,-0.02234990 
426,2011/11/17,6569.22,-852.918417,-0.12983557 
427,2011/12/17,5716.301583,833.92595,0.14588558 
428,11/13/17,6550.227533,-56.597533,-0.00864054 
429,11/14/17,6493.63,807.79992,0.12439882 
430,11/15/17,7301.42992,513.60078,0.07034249 
431,11/16/17,7815.0307,53.7393,0.00687640 
432,11/17/17,7868.77,-51.629617,-0.00656133 
433,11/18/17,7817.140383,190.513684,0.02437128 
434,11/19/17,8007.654067,42.065933,0.00525322 
435,11/20/17,8049.72,10.08,0.00125222 
436,11/21/17,8059.8,208.235,0.02583625 
437,11/22/17,8268.035,-31.315,-0.00378748 
438,11/23/17,8236.72,14.258333,0.00173107 
439,11/24/17,8250.978333,456.428934,0.05531816 
440,11/25/17,8707.407267,61.392733,0.00705063 
441,11/26/17,8768.8,949.49505,0.10828107 
442,11/27/17,9718.29505,234.21377,0.02410029 
443,11/28/17,9952.50882,-33.50882,-0.00336687 
444,11/29/17,9919,228.372,0.02302369 
445,11/30/17,10147.372,736.54,0.07258431 
446,2012/1/17,10883.912,-4.032,-0.00037046 
447,2012/2/17,10879.88,452.742,0.04161278 
448,2012/3/17,11332.622,252.208,0.02225504 
449,2012/4/17,11584.83,6.39,0.00055158 
450,2012/5/17,11591.22,1949.76,0.16821008 
451,2012/6/17,13540.98,2960.99167,0.21866893 
452,2012/7/17,16501.97167,358.90833,0.02174942 
453,2012/8/17,16860.88,-1718.04585,-0.10189538 
454,2012/9/17,15142.83415,-273.02915,-0.01803025 
455,2012/10/17,14869.805,199.145,0.01339258 
456,2012/11/17,15068.95,2207.44333,0.14648953 
457,2012/12/17,17276.39333,-468.02666,-0.02709053 
458,12/13/17,16808.36667,-556.05667,-0.03308214 
459,12/14/17,16252.31,1519.59,0.09349994 
460,12/15/17,17771.9,1726.78333,0.09716369 
461,12/16/17,19498.68333,-218.78333,-0.01122042 
462,12/17/17,19279.9,-318.04333,-0.01649611 
463,12/18/17,18961.85667,-1224.745,-0.06458993 
464,12/19/17,17737.11167,-354.17167,-0.01996783 
465,12/20/17,17382.94,-1335.43,-0.07682417 
466,12/21/17,16047.51,-856.565,-0.05337682 
467,12/22/17,15190.945,-1414.335,-0.09310382 
468,12/23/17,13776.61,172.565,0.01252594 
469,12/24/17,13949.175,169.85333,0.01217659 
470,12/25/17,14119.02833,-378.08833,-0.02677864 
471,12/26/17,13740.94,1848.38167,0.13451639 
472,12/27/17,15589.32167,-1208.74,-0.07753641 
473,12/28/17,14380.58167,-166.57167,-0.01158310 
474,12/29/17,14214.01,-998.436,-0.07024309 
475,12/30/17,13215.574,950.001,0.07188496 
476,12/31/17,14165.575,-369.575,-0.02608966 
477,2001/1/18,13796,1209.85667,0.08769619 
478,2001/2/18,15005.85667,47.405,0.00315910 
479,2001/3/18,15053.26167,-14.02167,-0.00093147 
480,2001/4/18,15039.24,2134.88,0.14195398 
481,2001/5/18,17174.12,145.078,0.00844748 
482,2001/6/18,17319.198,-163.248,-0.00942584 
483,2001/7/18,17155.95,-1890.04333,-0.11016839 
484,2001/8/18,15265.90667,-551.65334,-0.03613630 
485,2001/9/18,14714.25333,-276.83333,-0.01881396 
486,2001/10/18,14437.42,-1140.626,-0.07900484 
487,2001/11/18,13296.794,616.088,0.04633357 
488,2001/12/18,13912.882,-121.692,-0.00874671 
489,1/13/18,13791.19,61.73,0.00447605 
490,1/14/18,13852.92,159.276,0.01149765 
491,1/15/18,14012.196,-458.056,-0.03268981 
492,1/16/18,13554.14,-2437.19333,-0.17981173 
493,1/17/18,11116.94667,228.47666,0.02055211 
494,1/18/18,11345.42333,-170.60333,-0.01503719 
495,1/19/18,11174.82,1775.97333,0.15892635 
496,1/20/18,12950.79333,-1445.56533,-0.11161983 
497,1/21/18,11505.228,8.192,0.00071202 
498,1/22/18,11513.42,-290.356,-0.02521892 
499,1/23/18,11223.064,59.19433,0.00527435 
500,1/24/18,11282.25833,109.77167,0.00972958 
501,1/25/18,11392.03,-422.215,-0.03706231 
502,1/26/18,10969.815,554.96167,0.05058988 
503,1/27/18,11524.77667,-93.40667,-0.00810486 
504,1/28/18,11431.37,-218.715,-0.01913288 
505,1/29/18,11212.655,-1028.59333,-0.09173504 
506,1/30/18,10184.06167,-101.54167,-0.00997065 
507,1/31/18,10082.52,-999.261667,-0.09910832 
508,2002/1/18,9083.258333,-181.356666,-0.01996604 
509,2002/2/18,8901.901667,-49.171667,-0.00552373 
510,2002/3/18,8852.73,-452.081667,-0.05106692 
511,2002/4/18,8400.648333,-1561.831666,-0.18591799 
512,2002/5/18,6838.816667,86.643333,0.01266935 
513,2002/6/18,6925.46,1174.498333,0.16959138 
514,2002/7/18,8099.958333,140.578334,0.01735544 
515,2002/8/18,8240.536667,4.543333,0.00055134 
516,2002/9/18,8245.08,74.796566,0.00907166 
517,2002/10/18,8319.876566,23.578434,0.00283399 
518,2002/11/18,8343.455,-275.435,-0.03301210 
519,2002/12/18,8068.02,529.7475,0.06566016 
520,2/13/18,8597.7675,736.865833,0.08570432 
521,2/14/18,9334.633333,137.006667,0.01467724 
522,2/15/18,9471.64,655.52167,0.06920889 
523,2/16/18,10127.16167,714.83,0.07058542 
524,2/17/18,10841.99167,243.83833,0.02249018 
525,2/18/18,11085.83,25.135,0.00226731 
526,2/19/18,11110.965,279.42667,0.02514873 
527,2/20/18,11390.39167,-144.41167,-0.01267838 
528,2/21/18,11245.98,-1314.908333,-0.11692252 
529,2/22/18,9931.071667,231.045003,0.02326486 
530,2/23/18,10162.11667,9.18333,0.00090368 
531,2/24/18,10171.3,-474.706667,-0.04667119 
532,2/25/18,9696.593333,652.009997,0.06724114 
533,2/26/18,10348.60333,-29.14333,-0.00281616 
534,2/27/18,10319.46,50.705,0.00491353 
